N	PARCELA	POSICAO	X	Y	ESPECIE	Cacho1	S1	S2	S3	S4	Smean	D	Copa
559	L80500	D	171.87	4.4	Is	4	4	3	1	4	3	1	1
565	L80500	D	198.4	7.07	Is	69	4	6	3	16	7.25	3	3
514	L81500	D	18.49	3.3	Se	1209	4	20	8	13	11.25	2	4
520	L81500	D	209.27	3.75	Is	6	4	11	10	8	8.25	4	1
526	L81500	E	224	5.6	Is	46	4	11	16	2	8.25	3	3
10926	L82500	E	16.2	2.45	Is	4	5	2	8	4	4.75	2	2
437	L82500	D	48.63	6.3	Om	167	4	8	5	2	4.75	4	3
487	L82500	E	105	7.73	Is	4	10	5	2	8	6.25	4	3
10808	L82500	E	132.59	2.43	Is	21	2	0	3	5	2.5	0	5
450	L82500	D	164.57	2	Ga	3	5	3	4	3	3.75	3	1
451	L82500	D	169.13	9.13	Is	43	4	3	6	2	3.75	2	1
454	L82500	D	170.3	6.15	Is	32	2	4	4	2	3	0	1
478	L82500	E	174.18	6.04	Is	163	3	8	2	2	3.75	3	2
10725	L82500	E	199.48	19	Obc	3528	7	3	8	7	6.25	2	4
473	L82500	E	199.68	0.72	Is	123	0	4	3	2	2.25	4	1
10670	L82500	D	226.37	2.64	Is	3	6	3	2	6	4.25	4	2
410	L83500	E	73.4	1	Am	1	25	24	15	16	20	1	1
21379	L83500	E	79.22	4.58	Ob	122	15	22	1	10	12	2	4
408	L83500	E	80.16	6.5	Is	45	2	3	2	6	3.25	2	1
20822	L83500	D	84.34	1.8	Is	52	20	10	8	2	10	2	2
354	L83500	D	103.28	5.4	Is	42	3	8	8	2	5.25	2	1
365	L83500	D	133.8	1	Se	261	0	6	2	4	3	3	4
403	L83500	E	139.3	3.68	Is	29	6	1	0	4	2.75	1	4
400	L83500	E	142.05	2.62	Is	68	7	4	4	2	4.25	1	4
396	L83500	E	162.93	6	Is	106	9	5	3	4	5.25	5	3
20872	L83500	D	204.52	1.19	Is	238	0	3	4	8	3.75	3	2
391	L83500	E	211.4	10.6	Am	186	7	0	2	2	2.75	3	4
29645	L84500	D	27	5	Obc	1400	6	10	9	6	7.75	2	4
320	L84500	E	151.8	6.33	Obc	2404	2	0	2	1	1.25	2	3
297	L84500	D	204.2	6	Aa	52	2	0	0	2	1	3	3
